aa		d	e	f	44825.29222222223
ba		d	e	f	33907.78111111111
ca		d	e	f	33932.43
da		c	e	f	32550.242222222227
ea		c	d	f	31379.637777777785
fa		c	d	e	16994.34888888889
ga		c	d	e	16207.900000000001
ha		c	d	e	12559.534444444445
ia		c	d	e	27563.772222222226
ja		c	d	e	50536.69777777779
ka		c	d	e	49465.87555555557
la		c	d	e	51266.575555555566
ma		c	d	e	48715.34000000001
na		c	d	e	50063.68555555557
oa		c	d	e	48606.55333333335
pa		c	d	e	52646.63222222224
ra		c	d	e	53669.280000000006
qa		c	d	e	52637.82777777779
sa		c	d	e	50053.72222222223
ta		c	d	e	51647.628888888896
ua		c	d	e	49819.32555555556
va		c	d	e	52430.55333333334
wa		c	d	e	50633.59222222223
xa		c	d	e	50037.45666666668
ya		c	d	e	47566.44666666668
za		c	d	e	50862.13222222224
 a		c	d	e	130727.53555555554
,a		c	d	e	129021.98666666666
.a		c	d	e	129896.17444444443
-a		c	d	e	44825.29222222223
ab		d	e	f	44825.29222222223
bb		d	e	f	33907.78111111111
cb		d	e	f	44396.65222222223
db		c	e	f	43014.46444444445
eb		c	d	f	30926.348888888893
fb		c	d	e	6076.837777777777
gb		c	d	e	5290.388888888889
hb		c	d	e	1642.0233333333333
ib		c	d	e	16646.26111111111
jb		c	d	e	39619.18666666667
kb		c	d	e	38548.36444444444
lb		c	d	e	40349.06444444444
mb		c	d	e	37797.828888888886
nb		c	d	e	39146.17444444444
ob		c	d	e	37689.042222222226
pb		c	d	e	41729.12111111111
rb		c	d	e	42751.76888888888
qb		c	d	e	41720.316666666666
sb		c	d	e	39136.21111111111
tb		c	d	e	40730.11777777777
ub		c	d	e	38901.81444444443
vb		c	d	e	41513.04222222221
wb		c	d	e	39716.0811111111
xb		c	d	e	39119.945555555554
yb		c	d	e	36648.93555555555
zb		c	d	e	39944.62111111111
 b		c	d	e	119810.02444444443
,b		c	d	e	118104.47555555553
.b		c	d	e	118978.6633333333
-b		c	d	e	33907.78111111111
ac		d	e	f	44256.270000000004
bc		d	e	f	43802.98111111112
cc		d	e	f	33932.43
dc		b	e	f	42760.868888888894
ec		b	d	f	28556.513333333336
fc		b	d	e	7825.842222222223
gc		b	d	e	6684.611111111111
hc		b	d	e	1382.1877777777777
ic		b	d	e	16695.647777777776
jc		b	d	e	41944.448888888895
kc		b	d	e	40460.955555555556
lc		b	d	e	40870.717777777776
mc		b	d	e	39285.38
nc		b	d	e	38949.30777777778
oc		b	d	e	37295.39777777778
pc		b	d	e	43386.46333333334
rc		b	d	e	42797.782222222224
qc		b	d	e	44070.31666666667
sc		b	d	e	39061.90888888889
tc		b	d	e	39759.63333333333
uc		b	d	e	39993.56111111111
vc		b	d	e	43496.47333333333
wc		b	d	e	41145.16111111111
xc		b	d	e	41438.461111111115
yc		b	d	e	37994.80666666667
zc		b	d	e	42287.874444444446
 c		b	d	e	119834.67333333331
,c		b	d	e	118129.12444444443
.c		b	d	e	119003.3122222222
-c		b	d	e	33932.43
ad		c	e	f	34585.462222222224
bd		c	e	f	40434.81777777778
cd		b	e	f	41663.43555555556
dd		c	e	f	32550.242222222227
ed		b	c	f	26719.292222222222
fd		b	c	e	5988.6211111111115
gd		b	c	e	4847.389999999999
hd		b	c	e	0.0
id		b	c	e	15313.46
jd		b	c	e	40562.26111111112
kd		b	c	e	39078.76777777778
ld		b	c	e	39488.530000000006
md		b	c	e	37903.19222222223
nd		b	c	e	37567.12000000001
od		b	c	e	35913.21000000001
pd		b	c	e	42004.27555555556
rd		b	c	e	41415.594444444454
qd		b	c	e	42688.128888888896
sd		b	c	e	37679.72111111112
td		b	c	e	38377.44555555556
ud		b	c	e	38611.37333333334
vd		b	c	e	42114.28555555556
wd		b	c	e	39762.97333333334
xd		b	c	e	40056.273333333345
yd		b	c	e	36612.618888888894
zd		b	c	e	40905.68666666667
 d		b	c	e	118452.48555555554
,d		b	c	e	116746.93666666665
.d		b	c	e	117621.12444444443
-d		b	c	e	32550.242222222227
